ts_us,ch2_mv,ch3_mv
4334899320,370.026,356.299
4334900756,370.026,356.299
4334902240,370.026,356.299
4334903706,370.026,356.299
4334905157,370.026,356.299
4334906606,370.026,356.299
4334908066,370.026,356.299
4334909507,370.026,356.299
4334910967,370.026,356.299
4334912432,370.026,356.299
4334913913,370.026,356.299
4334915397,370.026,356.299
4334916857,370.026,356.299
4334918308,370.026,356.299
4334919757,370.026,356.299
4334921251,370.026,356.299
4334922707,370.026,356.299
4334924169,370.026,356.299
4334925632,370.026,356.299
4334927059,370.026,356.299
4334928523,370.026,356.299
4334929963,370.026,356.299
4334931430,370.026,356.299
4334932931,370.026,356.299
4334934388,370.026,356.299
4334935932,370.026,356.299
4334937391,370.026,356.299
4334938832,370.026,356.299
4334940318,370.026,356.299
4334941781,370.026,356.299
4334943263,370.026,356.299
4334944731,370.026,356.299
4334946200,370.026,356.299
4334947632,370.026,356.299
4334949090,370.026,356.299
4334950531,370.026,356.299
4334951988,370.026,356.299
4334953446,370.026,356.299
4334954931,370.026,356.299
4334956418,370.026,356.299
4334957931,370.026,356.299
4334959388,370.026,356.299
4334960831,370.026,356.299
4334962319,370.026,356.299
4334963783,370.026,356.299
4334965264,370.026,356.299
4334966706,370.026,356.299
4334968164,370.026,356.299
4334969606,370.026,356.299
4334971039,370.026,356.299
4334972506,370.026,356.299
4334973938,370.026,356.299
4334975406,370.026,356.299
4334976856,370.026,356.299
4334978340,370.026,356.299
4334979807,370.026,356.299
4334981290,370.026,356.299
4334982757,370.026,356.299
4334984240,370.026,356.299
4334985710,370.026,356.299
4334987169,370.026,356.299
4334988605,370.026,356.299
4334990065,370.026,356.299
4334991507,370.026,356.299
4334992964,370.026,356.299
4334994422,370.026,356.299
4334995906,370.026,356.299
4334997390,370.026,356.299
4334998857,370.026,356.299
4335000339,370.026,356.299
4335001805,370.026,356.299
4335003287,370.026,356.299
4335004732,370.026,356.299
4335006214,370.026,356.299
4335007655,370.026,356.299
4335009114,370.026,356.299
4335010605,370.026,356.299
4335012063,370.026,356.299
4335013506,370.026,356.299
4335014963,370.026,356.299
4335016420,370.026,356.299
4335017908,370.026,356.299
4335019392,370.026,356.299
4335020856,370.026,356.299
4335022338,370.026,356.299
4335023806,370.026,356.299
4335025299,370.026,356.299
4335026731,370.026,356.299
4335028218,370.026,356.299
4335029680,370.026,356.299
4335031137,370.026,356.299
4335032605,370.026,356.299
4335034032,370.026,356.299
4335035489,370.026,356.299
4335036930,370.026,356.299
4335038411,370.026,356.299
4335039856,370.026,356.299
4335041342,370.026,356.299
4335042781,370.026,356.299
4335044264,370.026,356.299
4335045739,370.026,356.299
4335047232,370.026,356.299
4335048670,370.026,356.299
4335050141,370.026,356.299
4335051606,370.026,356.299
4335053210,370.026,356.299
4335059863,370.026,356.299
4335061331,370.026,356.299
4335062780,370.026,356.299
4335064264,370.026,356.299
4335065731,370.026,356.299
4335067216,370.026,356.299
4335068655,370.026,356.299
4335070117,370.026,356.299
4335071605,370.026,356.299
4335073043,370.026,356.299
4335074501,370.026,356.299
4335075957,370.026,356.299
4335077417,370.026,356.299
4335078905,370.026,356.299
4335080388,370.026,356.299
4335081905,370.026,356.299
4335083389,370.026,356.299
4335084856,370.026,356.299
4335086339,370.026,356.299
4335087806,370.026,356.299
4335089288,370.026,356.299
4335090730,370.026,356.299
4335092342,370.026,356.299
4335093805,370.026,356.299
4335095288,370.026,356.299
4335096730,370.026,356.299
4335098214,370.026,356.299
4335099655,370.026,356.299
4335101111,370.026,356.299
4335102605,370.026,356.299
4335104065,370.026,356.299
4335105506,370.026,356.299
4335106961,370.026,356.299
4335108417,370.026,356.299
4335109905,370.026,356.299
4335111386,370.026,356.299
4335112830,370.026,356.299
4335114311,370.026,356.299
4335115755,370.026,356.299
4335117223,370.026,356.299
4335118655,370.026,356.299
4335120110,370.026,356.299
4335121610,370.026,356.299
4335123066,370.026,356.299
4335124504,370.026,356.299
4335125960,370.026,356.299
4335127417,370.026,356.299
4335128930,370.026,356.299
4335130411,370.026,356.299
4335131855,370.026,356.299
4335133336,370.026,356.299
4335134780,370.026,356.299
4335136260,370.026,356.299
4335137711,370.026,356.299
4335139169,370.026,356.299
4335140634,370.026,356.299
4335142088,370.026,356.299
4335143535,370.026,356.299
4335144988,370.026,356.299
4335146458,370.026,356.299
4335147930,370.026,356.299
4335149420,370.026,356.299
4335150934,370.026,356.299
4335152418,370.026,356.299
4335153936,370.026,356.299
4335155422,370.026,356.299
4335156933,370.026,356.299
4335158413,370.026,356.299
4335159932,370.026,356.299
4335161393,370.026,356.299
4335162831,370.026,356.299
4335164609,370.026,356.299
4335166090,370.026,356.299
4335167611,370.026,356.299
4335169062,370.026,356.299
4335170506,370.026,356.299
4335171951,370.026,356.299
4335173424,370.026,356.299
4335174922,370.026,356.299
4335176415,370.026,356.299
4335177915,370.026,356.299
4335179393,370.026,356.299
4335180904,370.026,356.299
4335182423,370.026,356.299
4335183949,370.026,356.299
4335185456,370.026,356.299
4335186937,370.026,356.299
4335188468,370.026,356.299
4335189931,370.026,356.299
4335191441,370.026,356.299
4335192930,370.026,356.299
